Words,Definitions,Examples
ability,the quality of having the means or skills to do something,"The coach knows what your athletic prospects are, the guidance office has a sheaf of test scores that relegate you to this or that ability quadrant, and your teachers have got you pegged."
absolute,perfect or complete or pure,We’re drawn to them because we hunger for absolute authority.
abstract,existing only in the mind,"The students write their abstract, over-intellectualized essays; the professors grade the students for their capacity to be abstract and over-intellectual—and often genuinely smart."
absurd,inconsistent with reason or logic or common sense,The idea that the courses you take should be the primary objective of going to college is tacitly considered absurd.
academia,the world of higher learning,"The people who do this work have highly developed intellectual powers, and they push themselves hard to reach a certain standard: That the results have almost no practical relevance to the students, the public, or even, frequently, to other scholars is a central element in the tragicomedy that is often academia."
access,the right to enter,"They want the certificate that will give them access to Wall Street, or entrance into law or medical or business school."
accomplish,achieve with effort,"I was about to go off to college, a feat no one in my family had accomplished in living memory."
achievement,the action of accomplishing something,Welcome and congratulations: Getting to the first day of college is a major achievement.
adequate,having the requisite qualities or resources to meet a task,"Because every subject you study is a language and since you may adopt one of these languages as your own, you’ll want to know how to speak it expertly and also how it fails to deal with those concerns for which it has no adequate words."
administrator,someone who manages a government agency or department,"As for the administrators, their relation to the students often seems based not on love but fear."
adopt,take into one's family,"Because every subject you study is a language and since you may adopt one of these languages as your own, you’ll want to know how to speak it expertly and also how it fails to deal with those concerns for which it has no adequate words."
affirm,declare solemnly and formally as true,"I learned that if I wanted to affirm any consequential ideal, I had to talk my way past Freud."
affront,a deliberately offensive act,"Instead of being punished, these guys frequently stay around, strolling the quad and swilling the libations, an affront (and sometimes a terror) to their victims."
aggressive,characteristic of an enemy or one eager to fight,"Right now, if you’re going to get a real education, you may have to be aggressive and assertive."
alter,cause to change; make different,"This kind of perspective-altering teaching and learning can cause the things which administrators fear above all else: trouble, arguments, bad press, etc."
amok,wildly; without self-control,"The Internet is amok with services selling term papers and those services exist, capitalism being what it is, because people purchase the papers—lots of them."
analysis,abstract separation of something into its various parts,"(Detached analysis has a place—but, in the end, you’ve got to speak from the heart and pose the question of truth.)"
analytical,using or skilled in using reasoning,And you will have to be tough if the professor mocks you for uttering a sincere question instead of keeping matters easy for all concerned by staying detached and analytical.
arduous,characterized by effort to the point of exhaustion,"When they face equally arduous tasks later in life, students will tap their old resources of determination, and they’ll win."
arrive,reach a destination,"What if you arrive at college devoted to pre-med, sure that nothing will make you and your family happier than a life as a physician, only to discover that elementary-school teaching is where your heart is?"
articulate,express or state clearly,"Brodhead, an impressive, articulate man, seems to take as his educational touchstone the Duke of Wellington’s precept that the Battle of Waterloo was won on the playing fields of Eton."
aspire,have an ambitious plan or a lofty goal,"I don’t mean Freud the aspiring scientist, but the Freud who was a speculative essayist and interpreter of the human condition like Emerson."
assert,declare or affirm solemnly and formally as true,"Let the profs roam free in the realms of pure thought, let yourselves party in the realms of impure pleasure, and let the student-services gang assert fewer prohibitions and newer delights for you."
associate,bring or come into action,"Reading the great writers, you may have the experience that Longinus associated with the sublime: You feel that you have actually created the text yourself."
astonish,affect with wonder,You can get a terrific education in America now—there are astonishing opportunities at almost every college—but the education will not be presented to you wrapped and bowed.
attend,be present,"Then I had better study literature, unless I had inside information to the effect that reincarnation wasn’t just hype, and I’d be able to attend college thirty or forty times."
aversion,a feeling of intense dislike,Self-reliance is its aversion.
balance,harmonious arrangement or relation of parts within a whole,You must inquire of yourself if balanced calm is the most desirable human state.
banish,"expel, as if by official decree","You must ask whether reason should always rule the passions, philosophers should always rule the state, and poets should inevitably be banished from a just commonwealth."
barrage,the heavy fire of artillery to saturate an area,"(Though sometimes—and this I owe to Emerson—it seems right to let the psyche fall into civil war, accepting barrages of anxiety and grief for this or that good reason.)"
benevolent,showing or motivated by sympathy and understanding,He declares that dreams don’t predict the future and that there’s nothing benevolent about them.
blame,an accusation that one is responsible for some misdeed,And how can we blame them?
bore,"make a hole, especially with a pointed power or hand tool",But the public also senses that because professors don’t pay full-bore attention to teaching they don’t have to work very hard—they’ve created a massive feather bed for themselves and called it a university.
brief,of short duration or distance,The dean of students laughed lightly when I suggested that this behavior might be grounds for sending the student on a brief vacation.
brilliant,full of light; shining intensely,"For their essays can be brilliant, in a chilly way; they can also be clipped off the Internet, and often are."
capacity,capability to perform or produce,"The students write their abstract, over-intellectualized essays; the professors grade the students for their capacity to be abstract and over-intellectual—and often genuinely smart."
cartographer,a person who makes maps,Never has there been a more shrewd and imaginative cartographer of the psyche.
center,an area that is in the middle of some larger region,The quest at the center of a liberal-arts education is not a luxury quest; it’s a necessity quest.
challenge,a call to engage in a contest or fight,"When he came to Harvard to talk about religion, he shocked the professors and students by challenging the divinity of Jesus and the truth of his miracles."
