Words,Definitions,Examples
appropriate,take possession of by force,How could they best appropriate the uncanny ability we kept to dream?
arrest,cause to stop,"She’d all but forgotten the mural, and the sight arrested her: six dead gods, crudely blue and dripping red, and her father in the middle: hero, liberator, butcher."
cardinal,serving as an essential component,"But as the weeks rolled on, he experienced firsthand the cardinal principle of American politics in the 1790s: whoever went face-to-face against Washington was destined to lose."
champion,protect or fight for,"She thought of him coming to champion her, confident, unruffled, those wide dependable shoulders like a fortress between her and the angry face of Goodwife Cruff."
contend,maintain or assert,"But even if, as Cannadine contends, “Speech was the very fibre of his being,” that’s not to say that it proceeded in any natural way from that being."
convention,something regarded as a normative example,"Programming, the installation of software, getting computers to speak properly to one another, all require very particular languages, protocols, and conventions—in sharp contrast to the emotional, visceral, manipulative drama of the political system."
dismiss,cease to consider,"He stepped into the darkness of the passage, dismissing the subject from his mind, and disappeared."
dupe,fool or hoax,"As his reputation grew, Penn and Teller tried to coax him on to “Fool Us” and succeeded only after agreeing to let Wind perform without having to dupe the hosts."
guise,an artful or simulated semblance,“I am not as I seem. I wear this guise of madness for a purpose. I may put it on and take it off at will.”
intimate,imply as a possibility,Diana intimated that this would be a different parting from any they had ever yet known.
levee,an embankment built to prevent a river from overflowing,"In his neighborhood, miles from the closest levee, the water had risen slowly enough that he knew it was unlikely that anyone had died in the flood."
liberal,given or giving freely,"Be liberal in your giving, realizing that the future generation must inherit great things, that they might know how close we lived to God."
onomatopoeia,using words that imitate the sound they denote,"Madden’s influence, steeped in Everyman sensibilities and studded with wild gesticulations and paroxysms of onomatopoeia — wham! doink! whoosh! — made the NFL more interesting, more relevant and more fun, for over 40 years."
profound,far-reaching and thoroughgoing in effect,"With the nation’s economic depression growing ever more profound—banks failing, suicides multiplying—it seemed an impossibility."
reproach,express criticism towards,"“In those days,” he explained sheepishly to a former graduate student who reproached him for talking over his students’ heads, “I was just trying to educate myself.”"
resolution,the trait of being firm in purpose or belief,"His demeanor had radiated an inner calm and resolution, as if he had finally made a decision he would never be able to go back on."
resolved,firmly determined,"He rejoined the man about ten feet away and turned to see that any trace of the crying, helpless, I-want-to-quit Trina was gone, replaced with the firmly resolved woman Mark was used to seeing."
revere,regard with feelings of respect,"In much the same way, the ancient Greeks revered their athletes and made statues of them in marble."
singular,unusual or striking,Another singular human trait is that we walk upright on two legs.
warrant,show to be reasonable or provide adequate ground for,"If he continued to behave this way, he could easily spend the next five years in the lab without collecting sufficient data to warrant an honest Ph.D."
analogy,drawing a comparison in order to show a similarity,Some grammarians use the analogy of stitching: punctuation as the basting that holds the fabric of language in shape.
canon,a body of rules established as valid and fundamental,The American Bar Association’s judicial canon holds that a judge should disqualify himself when “the judge’s impartiality might reasonably be questioned.”
discretion,power of making choices unconstrained by external agencies,"Even then, however, they assured Lawrence that the funds could be disbursed “subject to your discretion without the usual University restrictions.”"
fidelity,the quality of being faithful,"“There is something about fidelity, and that kind of long service and relationship, that speaks to strength, and not frailty,” she said."
flora,all the plant life in a particular region or period,Those were some of the advantages that the Fertile Crescent’s flora afforded the first farmers: it included an unusually high percentage of wild plants suitable for domestication.
flourish,grow vigorously,"If a species boasts many DNA copies, it is a success, and the species flourishes."
formidable,extremely impressive in strength or excellence,"She stopped being a person and became something like weather, lifting her body to all its formidable height and, with one blow, knocking the man to the ground."
founder,"break down, literally or metaphorically","The Invisible Empire eventually foundered, however, after an outraged public demanded that Congress crush the group."
negate,make ineffective by counterbalancing the effect of,It is as if vibrant prints in vivid colors negate sad spirits and a rocky economic climate.
partisan,a fervent and even militant proponent of something,"A few of the Gaelic ones revolted, who were quelled later, but in the main the people of England and the partisans like Robin were glad to settle down."
precipitate,bring about abruptly,"In Jane Austen novels, a death often precipitates the loss of a fortune, which propels the heroine to seek a husband."
propriety,correct behavior,"“Even during time of war, we must follow the rules of propriety and civilization.”"
qualified,limited or restricted; not absolute,"By contrast, the public view of the progress of medicine during the same period is restrained, qualified, a mixture of hope and worry."
query,an instance of questioning,"So my characteristic stance is one of rotating slowly on one foot, eyes wide, garment in hand, asking myself, “Where have I seen the $9.96 Athletic Works knit overalls?” or similar query."
rue,feel sorry for; be contrite about,"""If the queen has any sense, she'll accept my terms. If not, I'll make her rue the day she refused me."""
sage,a mentor in spiritual and philosophical topics,"There was wonderful wisdom in these verses; all the knowledge of the sages was told here in enchanting language, pure as honey collected by the bees."
sanction,official permission or approval,The federal Bureau of Indian Affairs had given its sanction for Navajos to join up.
suffrage,a legal right to vote,"Not a man in town thought it mattered a hoot about women voting, and only two ladies went to the first women’s suffrage meeting Miss Love set up."
treatise,a formal text that treats a particular topic systematically,"The result, a compact treatise titled Generation of Animals, would serve as a foundational text for human genetics just as Plato’s Republic was a founding text for political philosophy."
venerate,regard with feelings of respect and reverence,The Romans venerated the life-giving properties of cabbage such that a whole branch of medicine grew up around it.
abate,become less in amount or intensity,The next day the rain abated and commenced a silent drizzle.
admonish,scold or reprimand; take to task,"“Don’t talk about your father like that on Christmas Eve. Shame on you,” Mrs. Meecham admonished."
anarchy,a state of lawlessness and disorder,"Soon, more windows will be broken, and the sense of anarchy will spread from the building to the street on which it faces, sending a signal that anything goes."
asylum,a shelter from danger or hardship,"From the very first days, the most pressing need was to secure asylum for those in danger of death."
austere,of a stern or strict bearing or demeanor,"From the walls, the painted eyes of former Directors seemed to follow him, their faces austere, their lips unmoving."
celestial,of or relating to the sky,"Like contemporary astrologers, the Olmec, Maya, and Zapotec believed that celestial phenomena like the phases of the moon and Venus affect daily life."
complacent,contented to a fault with oneself or one's actions,"The only other bear that they had encountered was sleek and fat as butter, complacent and sleepy, his thoughts obviously already running on hibernation, and quite uninterested in strange animals."
confounded,perplexed by many conflicting situations or statements,Lydia sat confounded and speechless for several minutes after he finished.
deride,treat or speak of with contempt,"The greenwitches derided the philosophers as joyless old men afraid of magic, and the philosophers, not surprisingly, protested that they found much joy in the real world."
diffuse,spread out; not concentrated in one place,"Without electrical forces, there would no longer be things in the universe—merely diffuse clouds of electrons, protons and neutrons, and gravitating spheres of elementary particles, the featureless remnants of worlds."
enhance,make better or more attractive,"I slurp my coffee as we travel, finding that the cream and sugar greatly enhance its flavor."
exhort,spur on or encourage especially by cheers and shouts,"She kept up her screeching all the way through, exhorting Mr Coombes to greater and still greater efforts, and the awful thing was that he seemed to be responding to her cries."
futile,producing no result or effect,"My mom says it’s time for me to give up now, and that what I’m doing is futile."
impede,be a hindrance or obstacle to,"He was carrying something in both hands, but his back was to her, impeding a view of what he held."
incorporate,make into a whole or make part of a whole,"This confederacy incorporated six widely dispersed nations comprising thousands of agricultural villages and hunting grounds in what are currently known as New York, Pennsylvania, and Quebec."
insensible,barely able to be perceived,This type of water loss is called insensible water loss because a person is usually unaware of it.
placid,not easily irritated,"Meanwhile, placid and happy, Blanca was in splendid health for the first time in her life."
subside,wear off or die down,"Then the anguish subsided for a moment, as water withdraws briefly to dash itself once more against the rocks: he knew that it subsided only to return."
wary,marked by keen caution and watchful prudence,"He darted a wary glance at the false door, not knowing whether to feel hopeful or afraid."
wistful,showing pensive sadness,"“I wish,” she said, giving them a smile that was almost wistful."
allure,the power to entice or attract,"Being a little older than my classmates adds to my allure; they look up to me, admire me even."
approbation,official acceptance or agreement,"Despite their welcome, I could not bring myself to speak much at our meal, so sensible am I of my youth and inexperience, so anxious am I for their approbation."
bard,a lyric poet,"The musicians began to play again, and the bard Abel began to sing “Two Hearts That Beat as One.”"
clamor,utter or proclaim insistently and noisily,"As he was led away, the crowd chanted its disapproval, clamoring “More! More!”"
consecrated,"made, declared, or believed to be holy","According to tradition, being buried away from the consecrated soil of their parish church rendered the souls unable to reach heaven."
covet,"wish, long, or crave for","If during the year one of us coveted something that belonged to another, we might get the temporary loan of that item for January of the new year."
deference,a disposition or tendency to yield to the will of others,"With every boat which we have over-hauled since then this trick has succeeded; we have had every deference shown to us, and not once any objection to whatever we chose to ask or do."
fetter,restrain with shackles,"Her mouth went dry as Fedu’s fingers fettered her wrists, no different from the ropes that had once bound her hands, but she resisted the urge to wince."
impute,attribute or credit to,"Scientists impute dental decay to high consumption of sugar, cautioning the public that children are not the only offenders."
indolent,disinclined to work or exertion,"My MST classmates are so indolent, they wouldn’t read the book for homework, so the teacher is making us read it aloud to shame us."
