Words,Definitions,Examples
abdomen,the region of the body between the thorax and the pelvis,
abiogenesis,a hypothetical organic phenomenon by which living organisms are created from nonliving matter,
absorption,a process in which one substance permeates another,
activation energy,the energy that an atomic system must acquire before a process (such as an emission or reaction) can occur,
active transport,transport of a substance (as a protein or drug) across a cell membrane against the concentration gradient; requires an expenditure of energy,
allele,any of the forms of a gene that can occupy the same locus,
alternation of generations,the alternation of two or more different forms in the life cycle of a plant or animal,
anabolism,"the synthesis in living organisms of more complex substances (e.g., living tissue) from simpler ones together with the storage of energy",
antibiotic,a substance used to kill microorganisms and cure infections,
antigen,any substance that stimulates an immune response in the body,
appendicular skeleton,the part of the skeleton that includes the pectoral girdle and the pelvic girdle and the upper and lower limbs,
asexual reproduction,reproduction without the fusion of gametes,
atrium,a chamber connected to other chambers or passageways,
axial skeleton,the part of the skeleton that includes the skull and spinal column and sternum and ribs,
bilateral symmetry,the property of being symmetrical about a vertical plane,
bile,a digestive juice secreted by the liver,
biomass,the total amount of living matter in a given unit area,
biome,major ecological community with distinct climate and flora,
biosynthesis,production of a chemical compound by a living organism,
bivalve,a sea creature with two connected hinged shells,
bone marrow,the fatty network of connective tissue that fills the cavities of bones,
botany,the branch of biology that studies plants,
catabolism,breakdown in living organisms of more complex substances into simpler ones together with release of energy,
catalyst,substance that initiates or accelerates a chemical reaction,
cell wall,a rigid layer of polysaccharides enclosing a plant membrane,
cellulose,a polysaccharide that is the chief constituent of all plant tissues and fibers,
centromere,a specialized condensed region of each chromosome that appears during mitosis where the chromatids are held together to form an X shape,
cerebellum,a major division of the vertebrate brain,
cerebrum,anterior part of the brain consisting of two hemispheres,
chemical change,process determined by substances' composition and structure,
chitin,component of arthropods' exoskeletons and bodies of fungi,
chlorophyll,any of green pigments found in photosynthetic organisms,
chloroplast,organelle in which photosynthesis takes place,
chromatin,the readily stainable substance of a cell nucleus consisting of DNA and RNA and various proteins; during mitotic division it condenses into chromosomes,
chromosome,a threadlike strand of DNA that carries genes,
circulatory system,the organs and tissues involved in circulating blood and lymph through the body,
codon,a specific sequence of three adjacent nucleotides on a strand of DNA or RNA that specifies the genetic code information for synthesizing a particular amino acid,
cohesion,the state of sticking together,
commensalism,when one organism benefits from another without damaging it,
community,a group of people living in a particular local area,
compound eye,in insects and some crustaceans: composed of many light-sensitive elements each forming a portion of an image,
concentration,the spatial property of being crowded together,
conjugation,the state of being joined together,
cotyledon,embryonic leaf in seed-bearing plants,
cytology,the branch of biology that studies the structure and function of cells,
cytolysis,pathological breakdown of cells by the destruction of their outer membrane,
cytoplasm,"the substance inside a cell, not including the nucleus",
