Words,Definitions,Examples
abase,cause to feel shame,"Ashamed, abased, degraded in his own eyes, he turned away his head."
abet,"assist or encourage, usually in some wrongdoing","""Since YouTube, digital culture has aided and enhanced -- or maybe the better word is abetted -- the celebrity meltdown,"" said Wired magazine senior editor Nancy Miller."
abeyance,temporary cessation or suspension,My feelings of home-sickness had returned with redoubled strength after being long in abeyance.
abjure,formally reject or disavow a formerly held belief,"The caste abstain from liquor, and some of them have abjured all flesh food while others partake of it."
abstemious,marked by temperance in indulgence,"Raw, boozy, untethered performances are heralded as real; the abstemious professional is yawned off the stage."
abut,lie adjacent to another or share a boundary,"It depicts a mountain landscape near Kingston, a historic town abutting the Hudson River."
abysmal,exceptionally bad or displeasing,"After all, many Americans regard this Congress as dysfunctional, with abysmal approval ratings."
accede,yield to another's wish or opinion,Therefore he made up his mind to accede to his uncle's desire.
accentuate,stress or single out as important,"This sparkling marvel lies modestly nestled among the law courts, whose plainer modern buildings serve but to accentuate its wonderful beauty."
accolade,a tangible symbol signifying approval or distinction,"The Nobel Prize, considered one of the highest accolades in literature, is given only to living writers."
accord,concurrence of opinion,"The committee worked in accord on the bill, and it eventually passed."
acme,the highest level or degree attainable,"Scientifically speaking, it is the acme of absurdity to talk of a man defying the law of gravitation when he lifts his arm."
acquiesce,agree or express agreement,American officials initially tried to resist President Karzai’s moves but eventually acquiesced.
acrimony,a rough and bitter manner,"Relations with India have been slowly improving, although talks ended in acrimony last July with the two sides indulging in a public spat over Kashmir."
actuate,give an incentive for doing something,"He knew that men were actuated by other motives, good and bad, than self-interest."
adage,a condensed but memorable saying embodying an important fact,"So he focuses on the fans and embraces the adage, “Living well is the best revenge.”"
adjure,command solemnly,"“I adjure thee,” she said, “swear to me that you will never go near those Christians again or read their books.”"
admonish,scold or reprimand; take to task,"""Children, children, stop quarrelling, right here in public!"" admonished Mrs. Dering, in a low, shocked tone."
adulation,exaggerated flattery or praise,"And celebrities get all this adulation for something that is not about character, it's about talent."
adulterate,make impure by adding a foreign or inferior substance,Shady dealers along the supply chain frequently adulterate olive oil with low-grade vegetable oils and add artificial coloring.
adventitious,associated by chance and not an integral part,The derivation of the word thus appears to be merely accidental and adventitious.
adverse,contrary to your interests or welfare,High doses can have adverse effects and even cause death.
advert,make reference to,"In the family circle it was rarely adverted to, and never except when some allusion to the approaching separation had to be made."
advocate,"a person who pleads for a person, cause, or idea","Well, safety advocates, consumers and the government dragged the automobile industry toward including seat belts, air bags, more visible taillights and other safety features."
affable,diffusing warmth and friendliness,"He was well liked and respected in these islands, for his affable manners had obtained for him much popularity."
affect,have an influence upon,The central bank will start distributing low-interest loans in early March to individuals and small- and medium-sized companies affected by the flooding.
afflict,cause physical pain or suffering in,"Melanoma globally afflicts nearly 160,000 new people each year."
aggrieve,infringe on the rights of,"Some fallout appears evident in donations from Wall Street executives, who feel particularly aggrieved by Mr. Obama’s criticisms and policies."
aide,someone who acts as an assistant,She later found work as a teacher’s aide in a Head Start program in Harlem.
alacrity,liveliness and eagerness,"Every one exerted himself not only without murmuring and discontent, but even with an alacrity which almost approached to cheerfulness."
alcove,a small recess opening off a large room or garden,"They showed him where he would sleep, in a little closet-like alcove screened from the big room by a gay curtain."
allay,lessen the intensity of or calm,Our boy was scared and confused; we tried to allay his fears.
allege,report or maintain,"It is being fired into enclosed areas and homes, the human rights group alleges."
amalgamate,bring or combine together or with something else,"Where two weak tribes amalgamated into one, there it exceptionally happened that two closely related dialects were simultaneously spoken in the same tribe."
ambrosia,the food and drink of the gods,"""Frieda represents the lovely goddess, Hebe, who served nectar and ambrosia to the high gods on Mount Olympus,"" she explained."
amenable,disposed or willing to comply,"He, Jean Boulot, being so amenable to sensible argument, would at once fall in with his views."
amicable,characterized by friendship and good will,"After a short colloquy the two men evidently came to an amicable understanding, for they shook hands."
animus,a feeling of ill will arousing active hostility,"The youthful savages had each an armful of snowballs, and they were pelting the child with more animus than seemed befitting."
anodyne,capable of relieving pain,"But philosophy failed, as it will probably fail till some far-off age, to find an anodyne for the spiritual distresses of the mass of men."
anthropomorphic,suggesting human features for animals or inanimate things,The same anthropomorphic fallacy that accords human attributes to giant corporations like BP distorts clear thinking about how to limit their political influence.
aphorism,a short pithy instructive saying,"General Sherman's famous aphorism that ""War is Hell,"" has become classic."
apocryphal,being of questionable authenticity,"We're reminded of the story, possibly apocryphal, that they used to play the Beach Boys' Smiley Smile in psychiatric wards to calm patients."
apologist,a person who argues to defend some policy or institution,"Tories, and apologists for Great Britain, have written much about a justification for this action, but there is no real justification."
apostate,not faithful to religion or party or cause,"They are atheist conservatives — Mr. Khan an apostate to his family’s Islamic faith, Ms. Mac Donald to her left-wing education."
apotheosis,model of excellence or perfection of a kind,"Contrary to popular belief, however, she said Ms. Deen’s fat-laden cooking does not in fact represent the apotheosis of Southern cuisine."
apparent,clearly revealed to the mind or the senses or judgment,But the elderly creak is beginning to become apparent in McCartney’s voice.
appeal,be attractive to,"To get traditional women’s accessories to appeal to men, some designers are giving them manly names and styles."
appease,cause to be more favorably inclined; gain the good will of,The king also has tried to appease public anger over corruption.
append,add to the very end,Some specimens will appear in the papers appended to this report.
appoint,"assign a duty, responsibility, or obligation to",In 1863 he was appointed by the general assembly professor of oriental languages at New College.
apposite,being of striking appropriateness and pertinence,"He was quite capable of meaningful, apposite phrases about the game, even though distant sports editors did not encourage them enough."
approach,move towards,Spain’s jobless rate for people ages 16 to 24 is approaching 50 percent.
appurtenance,a supplementary component that improves capability,"In the center of this space stood a large frame building whose courtyard, stables, and other appurtenances proclaimed it an inn."
apropos,"of a suitable, fitting, or pertinent nature",I found myself thinking vaguely about things that were not at all apropos to the situation.
apt,naturally disposed toward,Another reason to display beds at an electronics show: consumers are apt to use high-tech devices while tucked in.
aquiline,curved down like an eagle's beak,"The nose slightly aquiline, curving at the nostril; while luxuriant hair, in broad plaits, fell far below her waist."
arbitrary,based on or subject to individual discretion or preference,"Sandra Nurse, a member of Occupy's direct action working group, said police treated demonstrators roughly and made arbitrary arrests."
arbitrate,act between parties with a view to reconciling differences,"The Scottish throne was now disputed by many claimants, and the Scots asked Edward to arbitrate between them."
archetype,something that serves as a model,"Newport, R.I., looks like a perfect archetype of a small, seaside New England town."
aria,an elaborate song for solo voice,"Ms. Netrebko sang an elegantly sad aria with lustrous warmth, aching vulnerability and floating high notes."
armada,a large fleet,An armada of three hundred ships manned by eighteen thousand marines assembled in the bay on their way to the conquest of Algiers.
arrogate,seize and take control without authority,Japanese manufacturers were accused of arrogating American technologies to churn out low-cost electronics.
ascendancy,the state when one person or group has power over another,"But in a few days he had secured an almost incredible ascendancy over the sullen, starved, half-clothed army."
ascertain,learn or discover with confidence,Health care providers and manufacturers can ascertain alternative treatment more effectively by tackling predicted drug shortage incidences early in the process.
askance,with suspicion or disapproval,A secret marriage in these days would be looked upon askance by most people.
asperity,harshness of manner,"All this proceeds from the old man, whose proper character it is to be angry and bitter, and to exhibit rancor and asperity."
aspersion,a disparaging remark,"Lord Sanquhar then proceeded to deny the aspersion that he was an ill-natured fellow, ever revengeful, and delighting in blood."
assail,attack someone physically or emotionally,"His campaign even issued a press release assailing other rivals for, in Mr. Paul’s view, taking Mr. Romney’s quote about firing people out of context."
assay,make an effort or attempt,He decided to assay one last project before giving up.
assent,agree or express agreement,"His two companions readily assented, and the promise was mutually given and received."
assert,declare or affirm solemnly and formally as true,"In your talk you asserted the pill's risks of blood clotting, lung artery blockage, heart attack and stroke are minimal."
assiduous,marked by care and persistent effort,He's an assiduous diary-keeper and regularly rereads ancient entries to check up on himself.
astringent,acidic or bitter in taste or smell,"There was something sharply astringent about her then, like biting inadvertently into a green banana."
asunder,into parts or pieces,"In 1854, as I have already remarked, Nicaragua was split asunder by civil war."
atavism,a reappearance of an earlier characteristic,Criminal atavism might be defined as the sporadic reversion to savagery in certain individuals.
attitude,a complex mental state involving beliefs and feelings,"""Behaviours have changed and attitudes have changed,"" Mr Taylor said."
attribute,a quality belonging to or characteristic of an entity,"The authors found that when the available prospects varied more in attributes such as age, height, occupation and educational background, people made fewer dating proposals."
audacious,disposed to venture or take risks,"In an audacious operation that unfolded like a Hollywood thriller, the Navy Seals executed a daring raid deep into Pakistan to kill Osama bin Laden."
augury,an event indicating important things to come,"This is always an encouraging sign, and an augury of success."
august,profoundly honored,"At all times reserved in his manner and his bearing full of dignity, never before had she realized the majesty of General Washington’s august presence."
auspices,kindly endorsement and guidance,"In March 2009, negotiations between Israel and Hamas were held in Cairo, under the auspices of the Egyptian intelligence agency."
austere,severely simple,A certain austere simplicity was noticeable all over Longfellow's house.
automate,operate or make run by machines rather than human action,"And because leap seconds are needed irregularly their insertion cannot be automated, which means that fallible humans must insert them by hand."
avarice,extreme greed for material wealth,"The old man's fears were assailed with threats, and his avarice was approached by bribes, and he very soon capitulated."
aversion,a feeling of intense dislike,Already my passive dislike had grown into an active aversion.
