Country,Institution,Agreement Type,Open to,Public/Private,Student Number,Study Term,GPA Requirement,English Requirement,"Application Deadline
for Fall Semester",Application Process,Application Documents,Application Fee,Tuition/Semester,Courses,Academic Calendar,Insurance,Accommodation,Additional Info,Info Link
US,"University of California, Berkeley",Study abroad,UG,Public,"Capacity for Fall 2024

Biology up to 10

Physics unlimited

Data Science 5 plus

Chemistry (pending)

Engineering (pending)

",Up to one academic year,"Students have completed two full academic years of UG coursework

GPA ≥3.3 (Engineering and Chemistry)

GPA ≥3.0  (Physics)

GPA ≥3.0  (Biology)","TOEFL 90
IELTS 7.0

English language requirement might be waived for students who pass the interview.",February,"

Engineering+Chemistry
Nomination with supporting documents
Interview (Feb./Mar.)
Admissions results
Online application for successful candidates

Physics
Home university to email nomination list and application package to claudiat@berkeley.edu

Biology
Home university to email nomination list
Interview
Online application


","Engineering+Chemistry
Personal statement (one page)
Transcript
English language test report
CV

Physics
Statement of purpose
Official transcript
One letter of recommendation on letterhead
Proof of English-Language Proficiency
Passport identification page
Resume (if student is interested in research)

Biology pending
",100 USD per term (Engineering),"21,900 USD","Berkeley departments open to Westlake:

Bioengineering, Chemistry, Chemical and Biomolecular Engineering, Industrial Engineering and Operations Research , Materials Science and Engineering, Civil & Environmental Engineering, Electrical Engineering & Computer Sciences, Nuclear Engineering, Physics, Molecular and Cell Biology, Data Science, math

https://guide.berkeley.edu/

Min 12 units/max 15 units per semester, maximum 27 units a year

Engineering
Students are required to take at least 60% of the courses in the major they apply for.
https://guide.berkeley.edu/courses/mat_sci/
https://guide.berkeley.edu/courses/compsci/
Data Science
https://guide.berkeley.edu/courses/data/
Physics
Students must enroll in all physics courses.
https://guide.berkeley.edu/courses/physics/
Chemistry
https://guide.berkeley.edu/courses/chem/
https://guide.berkeley.edu/courses/chm_eng/



","Fall semester:
mid Aug. - mid Dec.

https://guide.berkeley.edu/academic-calendar/","Health insurance that covers emergency medical expenses, hospitalization, and emergency evacuation;
To purchase from UCB","No on-campus housing

Living expenses estimated at 2,100 USD/month",,"Engineering:
https://globe.berkeley.edu/admitted-students-resources/
https://globe.berkeley.edu/visiting-students/

Physics:
https://physics.berkeley.edu/visiting-students/berkeley-physics-international-education"
,"University of California, San Diego",Study abroad,"UG & PG students, staff, and scholars",Public,Unlimited,"Up to one academic year
(quarter system)","Above-average academic performance
and final achievement in all classes and programs (usually better than B)","TOEFL 83/IELTS 7.0 (8 main campus credits, 4 Extension credits)                                                                                     

TOEFL 95/IELTS 7.0 (12 main campus or Extension credits)

",At least twelve (12) weeks before the beginning of the program starts,Email application package to ipadmission@ucsd.edu,"Completed application form
Transcript
English language test report
Course List Form
Personal statement
Passport bio page",225 USD,"19, 430 USD (two quarters)","UCSD courses:
https://act.ucsd.edu/scheduleOfClasses/scheduleOfClassesStudent.htm
Biology
https://catalog.ucsd.edu/courses/BIOL.html#bibc100
Chemistry
https://catalog.ucsd.edu/courses/CHEM.html#chem4
Physics
https://catalog.ucsd.edu/courses/PHYS.html#phys1a
Computer Science & Engineering
https://catalog.ucsd.edu/courses/PHYS.html#phys1a

12 units per quarter-should list 12 to 15 courses per quarter in the course list form","Fall quarter: mid Sept.-mid Dec.
Winter quarter: early Jan.-late Mar.

https://blink.ucsd.edu/instructors/resources/academic/calendars/2024.html
","UCSD Extension medical insurance
and liability insurance","Assistance in obtaining either on-campus accommodation (summers only) or off-campus accommodation, including homestay, within a reasonable distance (which means 60 minutes or less by public bus from UCSD campus) from the campus.",,https://extendedstudies.ucsd.edu/international-programs/university-and-professional-study-abroad?_ga=2.68490705.197646132.1679982828-1319688012.1679982828
,"University of California, Santa Barbara",Study abroad,UG,Public,Up to 20,"Up to one academic year
(quarter system)",GPA ≥3.0,minimum TOEFL 80 or IELTS 6.5,"Mar 30;
Expected number of candidates by Mar. 15","Online application
https://enroll.professional.ucsb.edu/portal/applications/applicationProfile.do?applicationProfileId=29374512","Passport bio page
Proof of English proficiency
Official transcript in English
Financial statement (tuition plus estimated living expenses)",200 USD,"14,972.5 USD (two quarters)","UG courses or PG courses;
https://my.sa.ucsb.edu/catalog/Current/CollegesDepartments/ls-intro/AcademicDepartments.aspx
https://my.sa.ucsb.edu/catalog/Current/CollegesDepartments/coe/

Total units per quarter will be 20 undergraduate units;
Any academic department at UCSB (enrollment in specific courses is not guaranteed)

Chemistry
https://my.sa.ucsb.edu/catalog/current/SearchResults.aspx
Physics
https://my.sa.ucsb.edu/catalog/Current/CollegesDepartments/ls-intro/phys.aspx?DeptTab=Courses
Computer Science
https://my.sa.ucsb.edu/catalog/Current/CollegesDepartments/coe/compsci-engr.aspx?DeptTab=Courses
Materials
https://my.sa.ucsb.edu/catalog/Current/CollegesDepartments/coe/matrl.aspx?DeptTab=Courses
","Fall quarter: Sept.-Dec.
Winter quarter: Jan.-Mar.

https://registrar.sa.ucsb.edu/calendars/calendars-deadlines/academic-calendars/academic-calendar-for-2024-2025",Health insurance is included in the tuition fee,"It's the student's responsibility to find their own accommodations.

Living expenses estimated at 6,340 USD/quarter

https://professional.ucsb.edu/international-student-housing","Preferential tuition $29,945 for an academic year (guaranteed for Jan. 2023 to Jan. 2026)
",https://extension.ucsb.edu/international-university-immersion-program#courses
,"University of California, Davis",Study abroad,Students,Public,Up to 15,"Minimum one summer session (6
weeks) up to maximum one year (12 months)
(quarter system)","GPA ≥3.0
",TOEFL 80                                                                  IELTS 7.0  ,1-May,Needs recommendation of home university ,"Recommendation of the home university 
Transcript
English language test report","200 USD (Waived for partner university)
","
16,400 USD (two quarters)
","Courses in all colleges and departments;
https://catalog.ucdavis.edu/courses-subject-code/
 
A min of 12 units and a max of 13 units
per quarter; 16 for exceptional students

Biological Sciences
https://catalog.ucdavis.edu/courses-subject-code/bis/
Chemistry
https://catalog.ucdavis.edu/courses-subject-code/che/
Physics
https://catalog.ucdavis.edu/courses-subject-code/phy/
Computer
https://catalog.ucdavis.edu/courses-subject-code/ecs/
Materials
https://catalog.ucdavis.edu/courses-subject-code/ems/

","Fall Quarter 2023: 
September 27 – December 15

Winter Quarter 2024: 
January 8 – March 22

https://registrar.ucdavis.edu/calendar/web/master",Medical/health insurance,"Assistance in obtaining housing
Estimated at 1,000-1,400 USD/month

https://cie.ucdavis.edu/resources-and-support/housing",,https://globalstudy.ucdavis.edu/program/overview
,Duke University,,,Private,Up to 20,Fall semester,GPA ≥3.3,"TOEFL 100
IELTS 7.0",Mar. 1,"Nomination letter by home university
Complete online application form, and email application package to valerie.cullen@duke.edu","Letter of nomination
Proof of English proficiency
Online application
Proof of sufficient financial support",,"31,725 USD","
https://registrar.duke.edu/registration/course-catalog-schedule-classes/

https://dukehub.duke.edu/psp/CSPRD01/EMPLOYEE/SA/s/WEBLIB_HCX_CM.H_COURSE_CATALOG.FieldFormula.IScript_Main?

four (4) full content courses+up to two optional non-academic courses

Chemistry
https://dukehub.duke.edu/psp/CSPRD01/EMPLOYEE/SA/s/WEBLIB_HCX_CM.H_COURSE_CATALOG.FieldFormula.IScript_Main?
Biology
https://dukehub.duke.edu/psp/CSPRD01/EMPLOYEE/SA/s/WEBLIB_HCX_CM.H_COURSE_CATALOG.FieldFormula.IScript_Main?
Physics
https://dukehub.duke.edu/psp/CSPRD01/EMPLOYEE/SA/s/WEBLIB_HCX_CM.H_COURSE_CATALOG.FieldFormula.IScript_Main?
Computer Science
https://dukehub.duke.edu/psp/CSPRD01/EMPLOYEE/SA/s/WEBLIB_HCX_CM.H_COURSE_CATALOG.FieldFormula.IScript_Main?","Fall semester: Mid Aug.-mid Dec.

https://registrar.duke.edu/2024-2025-academic-calendar/",Duke University Medical Insurance Plan,"Lodging that Duke owns or controls

Must purchase a Duke dining plan","Citizenship other than U.S.

Submit any accompanying application documentation electronically to valerie.cullen@duke.edu.

",https://globaled.duke.edu/vis
,Rice University,Exchange,UG & PG,Private,Up to 15,One or two semesters,GPA ≥3.0,"If the language of instruction in the student’s country of origin is 
not English, even if the language of instruction at the candidate’s current university is English, students still need to meet this requirement:

TOEFL 100                                                                                                 IELTS 7","Nomination deadline: March 1
Application deadline: March 15","Home university nomination followed
by online application (link to be shared later)","Photo (upload passport-type photo onto online student profile)
Student Information Form (biographical and contact information)
Personal Statement (500-word essay explaining motivation)
Preliminary Course Information
Exchange Program Participation Agreement, (online signature document)
Release of Information (online signature document)
Official University Transcript
TOEFL or IELTS results
CV or Resume (all years must be accounted for – no time gaps permitted)
Color Copy of Valid Passport Identification Page
Faculty Recommendation (attesting to applicant’s suitability for program: academic and personal match)
Home Institution’s Program Approval",,"27,050 USD","Course catalog and schedule: 
http://courses.rice.edu/admweb/swkscat.main?p_action=cata


Minimum: 12 credits (full-time)
Maximum: 15 (-18) credits

Provided that pre-requisites for courses are met, all 
undergraduate courses in the Schools of Engineering, Natural Sciences, Social Sciences, and Humanities are open to exchange students. 

Course registration is completed during orientation.","Orientation week: August 14 – 20

Fall Semester:
August 22 - December 13

http://registrar.rice.edu/calendars/","Medical insurance
https://oiss.rice.edu/studenthealth

Requirement
https://health.rice.edu/new-students/health-data-form","Assistance in obtaining housing

On-campus housing: automatic placement for admitted students
(no separate application needed).

Housing and other expenses estimated at 12,500 - 13,000 USD/Semester",An exchange student of the home institution who is a national of the host institution will not be eligible for the exchange program; Westlake will pay tuition fee to Rice in case of more Westlake participants than Rice participants in the program on a yearly basis,https://abroad.rice.edu/prospective-students
,Cornell University,Exchange,UG,Private,"For Fall 2020 and Spring 2021, every 4 Cornell study away students will exchange for 1 future Westlake student to study at Cornell for one semester;
1:1 exchange ratio for future semesters",One or two semesters,"
GPA ≥3.0

",TOEFL 100                                                             IELTS 7.5,"Nomination: Feb. 1 to Mar. 1
Application: Mar. 15",Nomination followed by online application,"Statement of purpose
Transcript
List of Cornell courses of interest
Scanned copy of passport
Declaration of Finances
",,"31,228 USD","12 units per semester, 50% of their classes in the host college

Computer Science (CS) and Information Science (INFO) are not open to exchange students.

Course description
https://courses.cornell.edu/content.php?catoid=55&navoid=22437

Course schedule
https://classes.cornell.edu/browse/roster/FA23

",https://registrar.cornell.edu/academic-calendar,"Cornell Student Health Insurance Plan

https://studenthealthbenefits.cornell.edu/enrollment-coverage","Assistance in making housing
arrangement

https://scl.cornell.edu/residential-life/housing

Cost of living
https://finaid.cornell.edu/cost-attend","
","https://abroad.globallearning.cornell.edu/incoming-exchange-students
https://international.globallearning.cornell.edu/"
,University of Virginia,Exchange,UG,Private,"Up to 6 for a full year or
Up to 12 for one semester",At least one semester and no longer than one year,GPA ≥3.0 on a 4.0 scale,"TOEFL 90                                                                   IELTS 7

Students on English-taught degree programs might be exempted from the English requirement.","Nomination deadline: March 1
Application deadline: March 15","Nomination to exchange@virginia.edu (student's name gender, email address, major field of study, preferred school of enrollment at UVa and semester(s) of study)

Application link:
https://applycentral.virginia.edu/apply/?sr=2074658e-3e47-4e50-9073-8aff15bb74e2","Transcript
Letter of recommendation from your academic advisor or a faculty member
If your first language is not English, or if the language of instruction at your home institution is not English, you need to have IELTS 7.0 or TOEFL 90 (22 in writing, 22 in speaking, 23 in reading, and 23 in listening)",,"29,202 USD","12 ~17 or 18 credits per semester

Course Schedule
https://louslist.org/index.php?Semester=1198

College of Arts & Sciences
http://records.ureg.virginia.edu/content.php?catoid=58&navoid=4812
School of Engineering & Applied Science
http://records.ureg.virginia.edu/content.php?catoid=58&navoid=4841
School of Architecture
http://records.ureg.virginia.edu/content.php?catoid=58&navoid=4817
Curry School of Education
http://records.ureg.virginia.edu/content.php?catoid=58&navoid=4833

Exchange Students may be permitted to register for graduate-level courses subject to permission of the instructor.","Fall Semester:
August 21 - December 15

Spring Semester:
January 16 - May 10

https://registrar.virginia.edu/calendar/academic/2024-2025","Medical insurance

https://issp.virginia.edu/health-insurance-requirement","Assistance in making housing
arrangement

On campus housing available (fact sheet)

Housing and other expenses estimated at 9,340 USD/Semester

https://issp.virginia.edu/housing","The Institutions will strive to exchange an equal number of Exchange Students annually during the three years covered by this Agreement. If in any year there are a greater number of Exchange students from Westlake who study at UVA, Westlake agrees to pay UVA tuition and academic fees for the excess students to compensate for the imbalance.","http://records.ureg.virginia.edu/
https://issp.virginia.edu/admissions"
,University of Wisconsin-Madison ,Study abroad,UG & PG,Public,To be discussed annually,"One or more terms (summer, fall, and/or spring terms), with a maximum length of two years","UG students who have completed at least one year of UG study;
GPA ≥3.0
","TOEFL 80
IELTS 6.5 

Students on an English-taught degree program can be exempted, for the traditional track","April 1

At least three months before the start date of the term","Online application

https://madison.sis.wisc.edu/psc/sisdcs/EMPLOYEE/SA/c/CTF_MENU.CTF_C_SIGNON.GBL?Page=CTF_C_REGISTER_NEW&Action=U","Official university transcripts;
English proficiency exam scores;
Passport information page;
Financial support documents (bank statements and/or scholarship letters)",,"20,414 USD","
https://visp.wisc.edu/academics/

Biology
https://guide.wisc.edu/courses/biology/
Chemistry
https://guide.wisc.edu/courses/chem/
Physics
https://guide.wisc.edu/courses/physics/
Computer Sciences
https://guide.wisc.edu/courses/comp_sci/
Materials
https://guide.wisc.edu/courses/m_s_e/

https://public.enroll.wisc.edu/search","Fall Semester:
Early September through late December

Spring Semester:
Mid-January through mid-May

https://secfac.wisc.edu/academic-calendar/","Madison's Student Health Insurance Plan

https://www.uhs.wisc.edu/ship/","Assistance in making housing
arrangement

Housing and other expenses estimated at 9,952 USD/Semester

https://visp.wisc.edu/housing/

",,https://visp.wisc.edu/admissions/
,University of Notre Dame,Study abroad,UG,Private,Up to 15,"Limited to two semesters during one
academic year","UG students who have completed at least one year of UG study;
GPA ≥3.0
","IELTS 7.0
TOEFL 90

If the language of instruction at your institution is English, you are exempt from this requirement. 

","Nomination deadline:
Feb. 15

Application deadline:
Mar. 31","Nomination followed by online application

https://ndi-sa.nd.edu/index.cfm?FuseAction=Security.AngLogin

The applicant may also be required to do a phone interview","Letter of nomination
Online Questionnaire
Copy of your passport
Official Transcript
TOEFL/IELTS score report
(If the language of instruction at your institution is English, you are exempt from this requirement. )
​Proof demonstrating enough funds to support study at Notre Dame (Template available in the application portal)

Some students might be required to participate in an interview.
",,"15,270 USD for 12 credits
19,050 USD for 15 credits","12 to 18 credit hours per semester

https://registrar.nd.edu/courses-classrooms/courses/course-catalog/

College of Arts&Letters
https://al.nd.edu/academics/
College of Engineering
https://engineering.nd.edu/departments-programs/
College of Science
https://science.nd.edu/academics/departments/
School of Architecture
https://architecture.nd.edu/academics-programs/
School of Global Affairs
https://keough.nd.edu/undergrad/featured-courses/","Fall semester: 
Aug 16.- Dec. 15

Spring semester: 
Mid Jan.-mid May

https://registrar.nd.edu/calendars/","Comprehensive health insurance

https://issa.nd.edu/students/getting-started/pre-arrival/university-health-services-requirements/","Students who wish to live on campus will need to fill out a housing application and will be entered into a 
lottery.

Assistance in making housing
arrangement

Housing and other expenses estimated at 11,974 USD/Semester",,"https://ndi-sa.nd.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&id=10087
https://issa.nd.edu/students/getting-started/pre-arrival/"
